repetition,sweep_name,scenario,num_samples,num_elements,active_fraction,active_count,active_gain,directional_gain_error_std_db,directional_phase_error_std_rad,eve_channel_scale,eve_channel_correlation,legitimate_receiver_noise_variance,eve_receiver_noise_variance,guard_band_sigma,selection_policy,weighted_legitimate_mi_bits_per_sample,weighted_eve_leakage_bits_per_sample,weighted_asymptotic_secret_rate_bits_per_sample,weighted_finite_length_rate_bits_per_sample,weighted_quantized_eve_mutual_information_bits_per_retained_bit,weighted_quantized_conditional_min_entropy_bits_per_retained_bit,transmission_quantized_eve_guessing_probability,reflection_quantized_eve_guessing_probability,transmission_quantized_conditional_min_entropy_bits_per_retained_bit,reflection_quantized_conditional_min_entropy_bits_per_retained_bit,weighted_operational_bound_bits_per_sample,transmission_pre_reconciliation_entropy_bound_bits,reflection_pre_reconciliation_entropy_bound_bits,transmission_operational_secret_bit_bound,reflection_operational_secret_bit_bound,aggregate_operational_secret_bit_bound,transmission_retention_ratio,reflection_retention_ratio,transmission_raw_kdr,reflection_raw_kdr,transmission_post_reconciliation_kdr,reflection_post_reconciliation_kdr,transmission_corrections,reflection_corrections,transmission_parity_leakage_bits,reflection_parity_leakage_bits,transmission_final_key_bits,reflection_final_key_bits,aggregate_final_key_bits,transmission_success,reflection_success,dual_side_success
0,guard_band_sigma,guard_band_sigma=0.05,2000,16,0.25,4,1.5,0.0,0.0,1.0,0.0,0.01,0.001,0.05,alice,8.059002087373816,0.003756376679902389,8.055245710693914,6.9827568340811315,0.0,0.713645032147556,0.6139636431746451,0.6056200206253146,0.703774868224513,0.723515196070599,0.2586111111111111,1078,1114,455,476,931,0.9527777777777777,0.9544444444444444,0.0029154518950437317,0.005820721769499418,0.0,0.0,5,10,527,542,128,128,256,True,True,True
0,guard_band_sigma,guard_band_sigma=0.1,2000,16,0.25,4,1.5,0.0,0.0,1.0,0.0,0.01,0.001,0.1,alice,8.059002087373816,0.003756376679902389,8.055245710693914,6.9827568340811315,0.0008904912448063351,0.7068884934598342,0.6161801266862732,0.6091202428351187,0.6985759421977186,0.7152010447219498,0.24777777777777776,1022,1050,435,457,892,0.915,0.9155555555555556,0.0,0.0012135922330097086,0.0,0.0,0,2,491,497,128,128,256,True,True,True
0,guard_band_sigma,guard_band_sigma=0.15,2000,16,0.25,4,1.5,0.0,0.0,1.0,0.0,0.01,0.001,0.15,alice,8.059002087373816,0.003756376679902389,8.055245710693914,6.9827568340811315,0.0006974689078134144,0.6954745187143876,0.620253346923705,0.6147711813462886,0.6890704798809761,0.7018785575477992,0.22194444444444444,955,979,388,411,799,0.8733333333333333,0.8766666666666667,0.0,0.0,0.0,0.0,0,0,471,472,128,128,256,True,True,True
0,guard_band_sigma,guard_band_sigma=0.25,2000,16,0.25,4,1.5,0.0,0.0,1.0,0.0,0.01,0.001,0.25,alice,8.059002087373816,0.003756376679902389,8.055245710693914,6.9827568340811315,0.0005049886242312618,0.6803180007291115,0.6238539342286653,0.6242015347484811,0.6807198110424995,0.6799161904157236,0.1775,830,849,316,323,639,0.7822222222222223,0.7983333333333333,0.0,0.0,0.0,0.0,0,0,418,430,128,128,256,True,True,True
1,eve_channel_correlation,eve_channel_correlation=0.0,2000,16,0.25,4,1.5,0.0,0.0,1.0,0.0,0.01,0.001,0.05,alice,8.079034310469767,0.0010225838762052634,8.078011726593562,7.0045212388259825,0.0,0.7443248398296282,0.5994698851352502,0.5944350684707977,0.7382408144043276,0.7504088652549287,0.28888888888888886,1147,1158,520,520,1040,0.96,0.9527777777777777,0.003472222222222222,0.0058309037900874635,0.0,0.0,6,10,531,542,128,128,256,True,True,True
1,eve_channel_correlation,eve_channel_correlation=0.25,2000,16,0.25,4,1.5,0.0,0.0,1.0,0.25,0.01,0.001,0.05,alice,8.079034310469767,0.42024421753498997,7.658790092934777,6.585299605167198,0.14078866054212147,0.3950002942446863,0.7596092710199172,0.7613701913668901,0.39667058122086324,0.39333000726850936,0.0,557,546,0,0,0,0.96,0.9527777777777777,0.003472222222222222,0.0058309037900874635,0.0,0.0,6,10,531,542,0,0,0,False,False,False
1,eve_channel_correlation,eve_channel_correlation=0.5,2000,16,0.25,4,1.5,0.0,0.0,1.0,0.5,0.01,0.001,0.05,alice,8.079034310469767,1.0089862049377518,7.070048105532015,5.996557617764436,0.30453485451181944,0.25105946410193736,0.8393457888667244,0.8412134838086913,0.2526628085265093,0.24945611967736547,0.0,308,299,0,0,0,0.96,0.9527777777777777,0.003472222222222222,0.0058309037900874635,0.0,0.0,6,10,531,542,0,0,0,False,False,False
1,eve_channel_correlation,eve_channel_correlation=0.75,2000,16,0.25,4,1.5,0.0,0.0,1.0,0.75,0.01,0.001,0.05,alice,8.079034310469767,2.0104620847551575,6.068572225714609,4.9950817379470305,0.5132877158937501,0.14167572798256253,0.9039384252301417,0.9089999605386299,0.14570359286708545,0.1376478630980396,0.0,123,108,0,0,0,0.96,0.9527777777777777,0.003472222222222222,0.0058309037900874635,0.0,0.0,6,10,531,542,0,0,0,False,False,False
1,eve_channel_correlation,eve_channel_correlation=1.0,2000,16,0.25,4,1.5,0.0,0.0,1.0,1.0,0.01,0.001,0.05,alice,8.079034310469767,9.870581505886083,0.0,0.0,0.8110658125683148,0.043040252369236434,0.9699791974770176,0.9712359866674458,0.04397428781291999,0.04210621692555287,0.0,0,0,0,0,0,0.96,0.9527777777777777,0.003472222222222222,0.0058309037900874635,0.0,0.0,6,10,531,542,0,0,0,False,False,False
1,directional_phase_error_std_rad,directional_phase_error_std_rad=0.0,2000,16,0.25,4,1.5,0.0,0.0,1.0,0.0,0.01,0.001,0.05,alice,8.079034310469767,0.0010225838762052634,8.078011726593562,7.0045212388259825,0.0,0.7443248398296282,0.5994698851352502,0.5944350684707977,0.7382408144043276,0.7504088652549287,0.28888888888888886,1147,1158,520,520,1040,0.96,0.9527777777777777,0.003472222222222222,0.0058309037900874635,0.0,0.0,6,10,531,542,128,128,256,True,True,True
